gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,act,at,capx,emp,invt,lct,ni,oibdp,rect,revt,xrd,xsga,costat,sic
003007,2014-06-30,2014,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,210.8540,1490.6040,161.0660,55.5860,23.6430,466.1100,154.0390,419.5550,47.8500,2905.4520,0.0000,140.0090,A,5812
003007,2015-06-30,2015,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,189.7170,1435.8730,140.2620,53.0160,23.0350,418.4750,196.6940,457.2170,46.5880,3002.2780,0.0000,137.4580,A,5812
003007,2016-06-30,2016,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,176.7740,1472.7160,112.7880,58.3350,25.1040,432.4430,200.7450,476.5930,43.9440,3257.4890,0.0000,142.0240,A,5812
003007,2017-06-30,2017,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,154.3920,1413.7000,102.5730,57.9060,24.9970,446.4280,150.8230,424.8790,44.6580,3150.8370,0.0000,142.0930,A,5812
003007,2018-06-30,2018,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,156.2840,1347.3400,101.2810,58.4780,24.2420,434.3400,125.8820,390.1170,53.6590,3135.4170,0.0000,155.9500,A,5812
003007,2019-06-30,2019,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,177.0000,1258.3000,167.6000,56.1470,23.2000,421.6000,154.9000,351.4000,69.6000,3217.9000,0.0000,171.9000,A,5812
003007,2020-06-30,2020,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,224.4000,2356.0000,104.5000,62.2000,27.3000,497.9000,24.4000,246.2000,87.7000,3078.5000,0.0000,162.4000,A,5812
003007,2021-06-30,2021,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,207.2000,2274.9000,94.0000,59.4910,28.9000,571.6000,131.6000,360.8000,88.2000,3337.8000,0.0000,142.5000,A,5812
003007,2022-06-30,2022,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,201.2000,2484.4000,150.3000,62.0250,35.6000,558.0000,117.6000,338.2000,70.9000,3804.1000,0.0000,161.0000,A,5812
003007,2023-06-30,2023,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,183.3000,2487.0000,184.9000,64.3230,34.5000,535.9000,102.6000,324.1000,60.9000,4133.2000,0.0000,176.0000,A,5812
003007,2024-06-30,2024,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,234.1000,2593.1000,198.9000,68.8520,34.5000,622.3000,155.3000,420.7000,60.6000,4415.1000,0.0000,206.6000,A,5812
003424,2014-09-30,2014,INDL,C,D,STD,BH,BIGLARI HOLDINGS INC,USD,186.2680,1174.7320,35.8120,23.1300,6.8920,113.0340,28.8040,38.0760,15.9620,793.8110,0.0000,128.4720,A,5812
003424,2015-12-31,2015,INDL,C,D,STD,BH,BIGLARI HOLDINGS INC,USD,126.7880,1003.9180,11.0830,22.9580,7.5930,117.5550,-15.8430,47.9640,17.7160,861.4520,0.0000,135.1320,A,5812
003424,2016-12-31,2016,INDL,C,D,STD,BH,BIGLARI HOLDINGS INC,USD,127.7890,1096.9670,12.0300,21.5190,6.7730,120.0110,99.4510,53.8140,14.1950,850.0760,0.0000,127.2590,A,5812
003424,2017-12-31,2017,INDL,C,D,STD,BH,BIGLARI HOLDINGS INC,USD,112.6390,1063.5840,8.0340,20.7320,7.2680,135.4920,50.0710,21.5400,16.2840,839.8040,0.0000,130.8080,A,5812
003424,2018-12-31,2018,INDL,C,D,STD,BH,BIGLARI HOLDINGS INC,USD,114.9330,1029.4930,17.7960,18.6840,7.5370,122.9850,19.3920,15.4360,15.7430,809.8940,0.0000,132.9090,A,5812
003424,2019-12-31,2019,INDL,C,D,STD,BH,BIGLARI HOLDINGS INC,USD,145.3910,1139.3090,17.6790,10.9060,4.6740,139.8170,45.3800,33.1230,21.6400,668.8380,,99.9860,A,5812
003424,2020-12-31,2020,INDL,C,D,STD,BH,BIGLARI HOLDINGS INC,USD,147.7780,1017.9680,20.7020,3.8620,2.7370,288.4470,-37.9890,60.0940,19.1850,433.6830,,76.3600,A,5812
003424,2021-12-31,2021,INDL,C,D,STD,BH,BIGLARI HOLDINGS INC,USD,164.8090,894.8070,64.5490,2.6330,3.8030,143.6410,35.4780,66.7580,28.5080,366.1060,,76.0180,A,5812
003424,2022-12-31,2022,INDL,C,D,STD,BH,BIGLARI HOLDINGS INC,USD,150.6540,828.4740,29.7460,2.5590,3.8510,134.8970,-32.0180,81.6340,29.3750,368.2310,,70.6080,A,5812
003424,2023-12-31,2023,INDL,C,D,STD,BH,BIGLARI HOLDINGS INC,USD,152.5510,849.4220,23.4050,2.4660,2.9800,111.1000,54.9480,77.6590,22.2410,365.3180,,77.0020,A,5812
003570,2014-07-31,2014,INDL,C,D,STD,CBRL,CRACKER BARREL OLD CTRY STOR,USD,329.6490,1432.2480,91.6460,72.0000,165.4260,344.4380,132.1280,280.3390,25.6770,2683.6770,,125.0740,A,5812
003570,2015-07-31,2015,INDL,C,D,STD,CBRL,CRACKER BARREL OLD CTRY STOR,USD,456.8240,1576.2080,90.8550,72.0000,153.0580,445.6110,163.9030,330.7890,18.0500,2842.2840,,144.0250,A,5812
003570,2016-07-31,2016,INDL,C,D,STD,CBRL,CRACKER BARREL OLD CTRY STOR,USD,355.7400,1497.6640,114.0220,73.0000,152.3080,368.8170,189.2990,358.2870,35.5730,2912.3510,,142.9820,A,5812
003570,2017-07-31,2017,INDL,C,D,STD,CBRL,CRACKER BARREL OLD CTRY STOR,USD,358.8570,1521.9420,110.5910,73.0000,156.3670,375.8280,201.8990,399.0700,22.3810,2926.2890,,141.4140,A,5812
003570,2018-07-31,2018,INDL,C,D,STD,CBRL,CRACKER BARREL OLD CTRY STOR,USD,306.7520,1527.3550,152.2490,73.0000,156.2530,364.6190,247.6200,386.8580,19.4960,3030.4450,,143.7560,A,5812
003570,2019-07-31,2019,INDL,C,D,STD,CBRL,CRACKER BARREL OLD CTRY STOR,USD,242.3800,1581.2250,138.2930,73.0000,154.9580,392.4740,223.4010,390.1380,32.2060,3071.9510,,152.8260,A,5812
003570,2020-07-31,2020,INDL,C,D,STD,CBRL,CRACKER BARREL OLD CTRY STOR,USD,643.0120,2544.2580,297.3280,55.0000,139.0910,451.0560,-32.4750,187.4610,49.0090,2522.7920,,136.8730,A,5812
003570,2021-07-31,2021,INDL,C,D,STD,CBRL,CRACKER BARREL OLD CTRY STOR,USD,353.5960,2391.6940,71.4090,70.0000,138.3200,465.2620,254.5130,261.1810,48.4950,2821.4440,,142.6710,A,5812
003570,2022-07-31,2022,INDL,C,D,STD,CBRL,CRACKER BARREL OLD CTRY STOR,USD,317.2760,2294.9110,98.3410,73.0000,213.2490,502.3240,131.8800,255.3000,34.6970,3267.7860,,157.4330,A,5812
